what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1447802681973
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1447802683005
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1447802687492
activated,editor,org.eclipse.jst.jsp.ui,1.1.501.v201008232032,"org.eclipse.jst.jsp.core.jspsource.source",1447802688501
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1447802695142
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1447802698291
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.202.v201004211732,"org.eclipse.wst.ws.service.policy.ui",1447802698840
started,bundle,org.eclipse.wst.ws.service.policy,1.0.203.v201004211732,"org.eclipse.wst.ws.service.policy",1447802698860
started,bundle,org.eclipse.wst.command.env,1.0.409.v201004211805,"org.eclipse.wst.command.env",1447802698986
started,bundle,org.eclipse.wst.ws,1.1.203.v201004211805,"org.eclipse.wst.ws",1447802698988
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1447802704650
started,bundle,org.eclipse.jst.server.generic.core,1.0.606.v20100512,"org.eclipse.jst.server.generic.core",1447802705141
started,bundle,org.eclipse.jst.server.preview.adapter,1.1.100.v20100308,"org.eclipse.jst.server.preview.adapter",1447802705156
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1447802745441
executed,command,org.eclipse.wst.server.ui,1.1.205.v20100908,"org.eclipse.wst.server.launchShortcut.run",1447802745775
started,bundle,org.eclipse.jst.server.tomcat.ui,1.1.200.v20100418,"org.eclipse.jst.server.tomcat.ui",1447802745996
error,log,,,"Could not load the Tomcat server configuration at /Servers/Tomcat v7.0 Server at localhost-config. The configuration may be corrupt or incomplete.",1447802746233
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1447802746561
started,bundle,org.eclipse.jdt.debug,3.6.1.v20100715_r361,"org.eclipse.jdt.debug",1447802748378
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1447802754303
error,log,,,"Error starting server Tomcat v7.0 Server at localhost",1447802755841
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1447802755869
error,log,,,"Could not load the Tomcat server configuration at /Servers/Tomcat v7.0 Server at localhost-config. The configuration may be corrupt or incomplete.",1447802756035
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1447802757832
started,bundle,org.eclipse.ltk.core.refactoring,3.5.100.v20100526-0800,"org.eclipse.ltk.core.refactoring",1447802761344
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1447802769978
started,bundle,org.eclipse.wst.common.project.facet.ui,1.4.102.v201008170019,"org.eclipse.wst.common.project.facet.ui",1447802781393
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1447802795828
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.properties",1447802795900
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1447802813448
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1447802816746
executed,command,org.eclipse.wst.server.ui,1.1.205.v20100908,"org.eclipse.wst.server.launchShortcut.run",1447802816817
error,log,,,"Could not load the Tomcat server configuration at /Servers/Tomcat v7.0 Server at localhost-config. The configuration may be corrupt or incomplete.",1447802816834
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1447802817005
error,log,,,"Could not load the Tomcat server configuration at /Servers/Tomcat v7.0 Server at localhost-config. The configuration may be corrupt or incomplete.",1447802817355
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1447802821618
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1447802824128
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1447802864179
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1447802874613
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1447802883449
started,bundle,org.eclipse.ui.browser,3.3.0.v20100517,"org.eclipse.ui.browser",1447802894175
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1447802914091
started,bundle,org.eclipse.jpt.core,2.3.2.v201008252310,"org.eclipse.jpt.core",1447802956807
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1447802964674
started,bundle,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring",1447802970751
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1447802970946
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1447802971693
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1447802980292
executed,command,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1447802980341
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1447802980341
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1447802984019
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1447802995853
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1447803003535
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1447803047457
executed,command,org.eclipse.wst.server.ui,1.1.205.v20100908,"org.eclipse.wst.server.launchShortcut.run",1447803047690
